م,E,N,نوع الحادث,جسامة الحادث,عدد المصابين
4288,21.3501699764748,39.7851996070952,دهس مشاه,وفاة,null
4287,22.103713,39.312362,دهس مشاه,وفاة,null
4286,22.105152,39.270145,دهس مشاه,اصابة,null
4285,20.005278,40.751503,صدم مركبة متحركة,اصابة,null
4284,21.408566,39.798531,دهس مشاه,اصابة,null
4283,20.294687,40.52631,انقلاب مركبة,اصابة,null
4282,21.59511,40.0162,صدم مركبة متحركة,اصابة,null
4281,21.175668,39.796101,صدم مركبة متحركة,اصابة,null
4280,21.475727,39.996536,دهس مشاه,وفاة,null
4279,21.30803591861,39.8283828422,دهس مشاه,اصابة,null
4278,19.60569,41.63737,انقلاب مركبة,اصابة,null
4277,19.64532,41.59219,صدم مركبة متحركة,اصابة,null
4276,20.418286,40.824128,صدم عمود كهرباء,وفاة,null
4275,21.583063,39.75869,صدم مركبة متحركة,اصابة,null
4274,19.681345,39.027538,صدم مركبة متحركة,وفاة,null
4273,21.3795,39.41144,دهس مشاه,وفاة,null
4272,21.386246,39.787067,دهس مشاه,اصابة,null
4271,21.37446,39.416,صدم مركبة متحركة,وفاة,null
4270,21.43786,39.822609,دهس مشاه,وفاة,null
4269,19.585138,41.66494,دهس مشاه,اصابة,null
4268,22.2306,39.28379,صدم مركبة متحركة,اصابة,null
4267,19.155428,39.06728,صدم مركبة متحركة,اصابة,null
4266,21.199953,39.95092,دهس مشاه,اصابة,null
4265,22.09517,39.1914,دهس مشاه,اصابة,null
4264,21.382605,39.871532,دهس مشاه,اصابة,null
4263,21.397871,39.864567,صدم مركبة متحركة,اصابة,null
4262,21.362396,39.895054,صدم مركبة متحركة,اصابة,null
4261,21.413839,39.760593,صدم مركبة متحركة,وفاة,null
4260,21.4864444,39.998707,دهس مشاه,وفاة,null
4259,19.246527,41.087578,صدم مركبة متحركة,اصابة,null
4258,18.79493,41.258831,انقلاب مركبة,اصابة,null
4257,20.033926,40.517921,انقلاب مركبة,اصابة,null
4256,20.34501,40.265121,صدم مركبة متحركة,اصابة,null
4255,21.2003056,39.971967,صدم مركبة متحركة,اصابة,null
4254,21.3701675,39.8787872,صدم مركبة متحركة,اصابة,null
4253,21.536404,39.970674,دهس مشاه,وفاة,null
4252,22.18208,39.15148,انقلاب مركبة,اصابة,null
4251,19.21807,41.205193,صدم مركبة متحركة,اصابة,null
4250,19.537323,41.04796,صدم مركبة متحركة,اصابة,null
4249,21.38594,39.42438,صدم مركبة متحركة,اصابة,null
4248,22.11168,39.15545,صدم مركبة متحركة,اصابة,null
4247,21.37532,39.39421,صدم مركبة متحركة,اصابة,null
4246,21.46286,39.2707,انقلاب مركبة,وفاة,null
