grid_id,lat_grid,lon_grid,accident_count,avg_severity,latitude,longitude,predicted_count,risk_level
21.227093_39.820698,21.227093065037728,39.820698187928144,2,2.0,21.2286945,39.824566000000004,1.143204593974362,Medium
21.227093_39.825523,21.227093065037728,39.82552260011472,1,2.0,21.23069,39.825748,1.040704593974362,Low
21.227093_39.941308,21.227093065037728,39.941308492592334,1,2.0,21.2306637,39.9444718,1.02937213386785,Low
21.231585_39.391326,21.231584620912685,39.39132550332364,1,2.0,21.23466,39.3947358,1.0391689461059024,Low
21.231585_39.420272,21.231584620912685,39.42027197644305,1,2.0,21.232508,39.422908,1.0390718950088513,Low
21.231585_39.454043,21.231584620912685,39.454042861749016,1,2.0,21.234709,39.45407,1.0740560732916413,Low
21.231585_39.478165,21.231584620912685,39.478164922681856,2,2.5,21.233175,39.482605,2.104521311376962,High
21.231585_39.502287,21.231584620912685,39.502286983614695,2,3.0,21.232595,39.50528,1.5830287409194461,Medium
21.231585_39.51676,21.231584620912685,39.5167602201744,1,3.0,21.23471,39.52089,1.1928671820193149,Medium
21.231585_39.536058,21.231584620912685,39.536057868920665,1,2.0,21.2321,39.54076,1.0988926243126211,Low
21.231585_39.540882,21.231584620912685,39.54088228110723,3,2.3333333333333335,21.234193333333334,39.54284666666667,3.038510101010101,High
21.231585_39.589126,21.231584620912685,39.58912640297291,1,3.0,21.23419,39.59243,1.0076138479947547,Low
21.231585_39.593951,21.231584620912685,39.593950815159474,1,3.0,21.235645,39.594681,1.0076138479947547,Low
21.231585_39.820698,21.231584620912685,39.820698187928144,1,3.0,21.2341,39.823139,1.0500545151198246,Low
21.231585_39.84482,21.231584620912685,39.844820248860984,1,2.0,21.2356,39.84857,1.0359148792378925,Low
21.231585_39.912362,21.231584620912685,39.91236201947293,1,2.0,21.2352286,39.9148073,1.028982328770399,Low
21.236076_39.425096,21.236076176787638,39.42509638862961,1,3.0,21.24055,39.42546,1.059808841665774,Low
21.236076_39.468516,21.236076176787638,39.46851609830872,1,2.0,21.24,39.47097,1.0522285674641356,Low
21.236076_39.482989,21.236076176787638,39.48298933486842,1,3.0,21.24017,39.484301,1.1721703093797593,Medium
21.236076_39.825523,21.236076176787638,39.82552260011472,1,2.0,21.237442,39.82613,1.0464188796886476,Low
21.236076_40.143934,21.236076176787638,40.14393380442817,1,2.0,21.23937,40.14765,1.023578906453713,Low
21.240568_39.347906,21.240567732662594,39.347905793644536,1,3.0,21.242902,39.3503,1.0662164821750935,Low
21.240568_39.429921,21.240567732662594,39.42992080081618,1,3.0,21.24443,39.43441,1.0857219767762776,Low
21.240568_39.458867,21.240567732662594,39.45886727393559,1,2.0,21.2406,39.46039,1.0654663297018978,Low
21.240568_39.473341,21.240567732662594,39.47334051049529,1,3.0,21.24275,39.47351,1.1358595889665213,Medium
21.240568_39.51676,21.240567732662594,39.5167602201744,2,3.0,21.242855,39.52102,1.5269797810812762,Medium
21.240568_39.521585,21.240567732662594,39.52158463236096,1,2.0,21.24455,39.52584,1.07169024336024,Low
21.240568_39.531233,21.240567732662594,39.5312334567341,2,2.5,21.24264,39.532505,2.12963835616792,High
21.240568_39.540882,21.240567732662594,39.54088228110723,1,2.0,21.24268,39.54249,1.0853908218921529,Low
21.240568_39.733859,21.240567732662594,39.73385876856993,1,2.0,21.24239,39.7352,1.0333921809840374,Low
21.240568_39.941308,21.240567732662594,39.941308492592334,3,2.6666666666666665,21.242037533333335,39.94357216666666,3.4357142857142855,High
21.240568_39.975079,21.240567732662594,39.97507937789831,1,2.0,21.245051,39.977158,1.0304877350643997,Low
21.245059_39.511936,21.24505928853755,39.511935807987825,1,3.0,21.24552,39.51426,1.1103054215575545,Low
21.245059_39.825523,21.24505928853755,39.82552260011472,1,2.0,21.2491981,39.8263712,1.0764188796886476,Low
21.245059_39.830347,21.24505928853755,39.83034701230128,1,3.0,21.245537,39.83342,1.0261850488461173,Low
21.249551_39.473341,21.249550844412504,39.47334051049529,2,2.0,21.252495,39.47553,1.6710460072494695,High
21.249551_39.482989,21.249550844412504,39.48298933486842,1,2.0,21.25366,39.48482,1.1379946307284634,Medium
21.249551_39.502287,21.249550844412504,39.502286983614695,1,2.0,21.25195,39.50526,1.2368051961696462,Medium
21.249551_39.507111,21.249550844412504,39.50711139580126,3,2.6666666666666665,21.252303333333334,39.510491,3.3702397186147186,High
21.249551_39.511936,21.249550844412504,39.511935807987825,2,2.0,21.251649999999998,39.513205,1.4001457966390825,Medium
21.249551_39.521585,21.249550844412504,39.52158463236096,1,3.0,21.25044,39.52589,1.107193170632901,Low
21.249551_39.738683,21.249550844412504,39.7386831807565,1,2.0,21.2495593,39.7396066,1.050058847650704,Low
21.249551_39.830347,21.249550844412504,39.83034701230128,2,2.5,21.2518724,39.831685449999995,2.3526648932445338,High
